YY,MM,DD,HH,MI,SS,clientIP,server,dbname,elapsed,busy,rows,statement
2013,1,16,21,13,35,131.220.98.127,SDSS3J,BESTDR9,0.27,8E-3,2137,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 12.8 and 13.3 and dec between 0.43278 and 0.93278 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,31,131.220.98.127,SDSS3J,BESTDR9,0.27,0.014,2182,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 14.3 and 14.8 and dec between -0.06722 and 0.43278 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,25,131.220.98.127,SDSS3J,BESTDR9,0.27,8E-3,2186,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 13.8 and 14.3 and dec between -0.06722 and 0.43278 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,21,131.220.98.127,SDSS3J,BESTDR9,0.27,8E-3,2155,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 13.3 and 13.8 and dec between -0.06722 and 0.43278 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,20,109.30.36.48,SDSS3J,BESTDR9,0.046,1E-3,0,select * from Photoz where objid=0x112d05b6a0a801f0  
2013,1,16,21,13,17,131.220.98.127,SDSS3J,BESTDR9,0.27,8E-3,2137,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 12.8 and 13.3 and dec between -0.06722 and 0.43278 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,13,131.220.98.127,SDSS3J,BESTDR9,0.246,7E-3,2464,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.579 and 150.079 and dec between 0.05917 and 0.55917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,9,131.220.98.127,SDSS3J,BESTDR9,0.243,8E-3,2327,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.079 and 149.579 and dec between 0.05917 and 0.55917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,5,131.220.98.127,SDSS3J,BESTDR9,0.243,7E-3,2330,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.579 and 149.079 and dec between 0.05917 and 0.55917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,13,1,131.220.98.127,SDSS3J,BESTDR9,0.243,8E-3,2444,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.079 and 148.579 and dec between 0.05917 and 0.55917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,57,131.220.98.127,SDSS3J,BESTDR9,0.246,8E-3,2399,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.579 and 150.079 and dec between -0.44083 and 0.05917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,51,131.220.98.127,SDSS3J,BESTDR9,0.246,8E-3,2537,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.079 and 149.579 and dec between -0.44083 and 0.05917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,47,131.220.98.127,SDSS3J,BESTDR9,0.243,8E-3,2501,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.579 and 149.079 and dec between -0.44083 and 0.05917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,45,128.220.146.112,SDSS3J,BESTDR9,6E-3,0,1,"SELECT  top 1 '<a target=INFO href=http://skyserver.sdss3.org/dr9/en/tools/explore/obj.asp?id=' + cast(p.objId as varchar(20)) + '>' + cast(p.objId as varchar(20)) + '</a>' as objID,
   p.run, p.rerun, p.camcol, p.field, p.obj,
   p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,
   p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z
   FROM fGetNearbyObjEq(195,2.5,0.5) n, PhotoPrimary p
   WHERE n.objID=p.objID   "
2013,1,16,21,12,43,66.249.75.115,SDSS3D,BESTDR8,0.03,0,1,select * from sppParams where specObjId=0x0eb0228a6e006800  
2013,1,16,21,12,42,131.220.98.127,SDSS3J,BESTDR9,0.25,8E-3,2619,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.079 and 148.579 and dec between -0.44083 and 0.05917 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,38,66.249.75.115,SDSS3D,BESTDR8,0.033,1E-3,1,select * from sppParams where specObjId=0x0eb089ca6e006800  
2013,1,16,21,12,37,131.220.98.127,SDSS3J,BESTDR9,0.246,8E-3,2554,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.579 and 150.079 and dec between -0.94083 and -0.44083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,33,131.220.98.127,SDSS3J,BESTDR9,0.246,7E-3,2493,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.079 and 149.579 and dec between -0.94083 and -0.44083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,33,66.249.75.115,SDSS3D,BESTDR8,10E-3,0,1,select * from galSpecLine where specObjId=0x0eb0288a6e006800  
2013,1,16,21,12,29,131.220.98.127,SDSS3J,BESTDR9,0.243,8E-3,2547,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.579 and 149.079 and dec between -0.94083 and -0.44083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,28,66.249.75.115,SDSS3D,BESTDR8,0.043,0,1,select * from sppLines where specObjId=0x0eb08f8a6e006800  
2013,1,16,21,12,25,131.220.98.127,SDSS3J,BESTDR9,0.25,7E-3,2608,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.079 and 148.579 and dec between -0.94083 and -0.44083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,20,131.220.98.127,SDSS3J,BESTDR9,0.23,7E-3,2261,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.579 and 150.079 and dec between -1.44083 and -0.94083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,18,128.220.143.25,SDSS3D,BESTDR8,0.016,0,1,"SELECT  top 1 '<a target=INFO href=http://skyserver.sdss3.org/dr8/en/tools/explore/obj.asp?id=' + cast(p.objId as varchar(20)) + '>' + cast(p.objId as varchar(20)) + '</a>' as objID,
   p.run, p.rerun, p.camcol, p.field, p.obj,
   p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,
   p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z
   FROM fGetNearbyObjEq(195,2.5,0.5) n, PhotoPrimary p
   WHERE n.objID=p.objID   "
2013,1,16,21,12,17,128.220.143.25,SDSS3J,BESTDR9,3E-3,0,1,"SELECT  top 1 '<a target=INFO href=http://skyserver.sdss3.org/dr9/en/tools/explore/obj.asp?id=' + cast(p.objId as varchar(20)) + '>' + cast(p.objId as varchar(20)) + '</a>' as objID,
   p.run, p.rerun, p.camcol, p.field, p.obj,
   p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,
   p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z
   FROM fGetNearbyObjEq(195,2.5,0.5) n, PhotoPrimary p
   WHERE n.objID=p.objID   "
2013,1,16,21,12,16,131.220.98.127,SDSS3J,BESTDR9,0.243,8E-3,2177,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 149.079 and 149.579 and dec between -1.44083 and -0.94083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,14,66.249.75.115,SDSS3D,BESTDR8,0.016,0,1,select * from galSpecInfo where specObjId=0x0eb0288a6e006800  
2013,1,16,21,12,12,131.220.98.127,SDSS3J,BESTDR9,0.243,8E-3,2287,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.579 and 149.079 and dec between -1.44083 and -0.94083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,9,66.249.75.115,SDSS3D,BESTDR8,10E-3,0,1,select * from galSpecInfo where specObjId=0x0eb0228a6e006800  
2013,1,16,21,12,8,131.220.98.127,SDSS3J,BESTDR9,0.24,8E-3,2188,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 148.079 and 148.579 and dec between -1.44083 and -0.94083 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,5,131.220.98.127,SDSS3J,BESTDR9,0.2,6E-3,2287,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 58.9542 and 59.4542 and dec between 0.5425 and 1.0425 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,12,4,66.249.75.115,SDSS3D,BESTDR8,10E-3,0,0,select * from galSpecInfo where specObjId=0x0eb018ca6e006800  
2013,1,16,21,12,1,131.220.98.127,SDSS3J,BESTDR9,0.193,7E-3,2006,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 58.4542 and 58.9542 and dec between 0.5425 and 1.0425 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
2013,1,16,21,11,59,66.249.75.115,SDSS3D,BESTDR8,0.043,0,1,select * from SpecObjAll where specObjId=0x0eb0020a6e006800  
2013,1,16,21,11,57,131.220.98.127,SDSS3J,BESTDR9,0.216,7E-3,2117,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between 57.9542 and 58.4542 and dec between 0.5425 and 1.0425 AND flags & dbo.fPhotoFlags('BLENDED') = 0 
  "
